Maintainer,MaintainerURL,Name,PrimaryRepoType,PrimaryRepoURL,SecondaryRepoType,SecondaryRepoURL,TertiaryRepoType,TertiaryRepoURL,Description,Tag1,Tag2,Tag3,Tag4,Tag5
## Tools for General Use,,,,,,,,,,,,,,
### Compiled Software,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#### R Shiny,,,,,,,,,,,,,,
mpeeples2008,https://github.com/mpeeples2008/,NAA analytical dashboard,GitHub,https://github.com/mpeeples2008/NAA_analytical_dashboard,,,,,Analytical Dashboard for conducting various analysis to group and assess groupings for Neutron Activation Analytical chemical compositional data,,,,,
,,,,,,,,,,,,,,
#### Unsorted,,,,,,,,,,,,,,
davidcorton,https://github.com/davidcorton/,archSeries,GitHub,https://github.com/davidcorton/archSeries,,,,,Frequency time-series tools for archaeology {R},,,,,
davidcorton,https://github.com/davidcorton/,osteoGIS,GitHub,https://github.com/davidcorton/osteoGIS,,,,,Plot data on skeletal templates quickly,,,,,
ISAAKiel,https://github.com/ISAAKiel/,quantAAR,GitHub,https://github.com/ISAAKiel/quantAAR,,,,,R Library for Quantitative Analysis in Archaeology,,,,,
ISAAKiel,https://github.com/ISAAKiel/,magAAR,GitHub,https://github.com/ISAAKiel/magAAR,,,,,Analyse geomagnetic data from archaeological context,,,,,
ISAAKiel,https://github.com/ISAAKiel/,mortAAR,GitHub,https://github.com/ISAAKiel/mortAAR,,,,,Analysis of Archaeological Mortality Data,,,,,
tipom,https://bitbucket.org/iosa/tipom,iosa,BitBucket,https://bitbucket.org/iosa/,,,,,A program for the typometry of the lithic industries {R},,,,,
joeroe,https://github.com/joeroe/,fieldwalkr,GitHub,https://github.com/joeroe/fieldwalkr,,,,,Spatial Sampling and Survey Simulation Tools,,,,,
cwickham,https://github.com/cwickham/,munsell,GitHub,https://github.com/cwickham/munsell/,CRAN,https://cran.r-project.org/web/packages/munsell/index.html,,,"Provides easy access to, and manipulation of, the Munsell colours",,,,,
Matt Peeples,,,,,Website,http://www.mattpeeples.net/caboot.html,,,Additional instructions for running bootstrapped correspondence analysis R,,,,,
nfrerebeau,https://github.com/nfrerebeau/,tabula,GitHub,https://github.com/nfrerebeau/tabula,,,,,"Analysis, Seriation and Visualization of Archaeological Count Data",,,,,
nfrerebeau,https://github.com/nfrerebeau/,khroma,GitHub,https://github.com/nfrerebeau/khroma,,,,,Colour Schemes for Archaeological Data Visualization,,,,,
joeroe,https://github.com/joeroe/,stratigraphr,GitHub,https://github.com/joeroe/stratigraphr,,,,,R package for archaeological stratigraphy and chronological sequences,Quantitative & Statistical Tools,Chronological / Stratigraphic Sequencing,,,
gianmarcoalberti,https://github.com/gianmarcoalberti/,CAinterprTools,GitHub,https://github.com/gianmarcoalberti/CAinterprTools,,,,,R package to help interpreting Correspondence Analysis' results,Quantitative & Statistical Tools,,,,
gianmarcoalberti,https://github.com/gianmarcoalberti/,CAseriation,GitHub,https://github.com/gianmarcoalberti/CAseriation,,,,,R Package for contingency tables seriation via Correspondence Analysis ,Quantitative & Statistical Tools,,,,
,,,,,,,,,,,,,,
## Datasets,,,,,,,,,,,,,,
benmarwick,https://github.com/benmarwick/,binford,GitHub,https://github.com/benmarwick/binford,,,,,"Datasets used in Binford's 2001 book ""Constructing Frames of Reference: An Analytical Method for Archaeological Theory Building Using Ethnographic and Environmental Data Sets",,,,,
benmarwick,https://github.com/benmarwick/,evoarchdata,GitHub,https://github.com/benmarwick/evoarchdata,,,,,Datasets from studies of cultural evolution in Archaeology,,,,,
benmarwick,https://github.com/benmarwick/,1989-excavation-report-Madjedbebe,GitHub,https://github.com/benmarwick/1989-excavation-report-Madjedbebe,,,,,"Text, data and code to accompany the analysis of the 1989 excavation data",,,,,
zackbatist,https://github.com/zackbatist/,DObsiSS,GitHub,https://github.com/zackbatist/DObsiSS,,,,,The Database of Obsidian Sourcing Studies,,,,,
klokantech,https://github.com/klokantech/roman-empire,roman-empire,GitHub,https://github.com/klokantech/roman-empire,,,,,Map of the Roman Empire made with vector tiles,,,,,
natowi,https://github.com/natowi/,photogrammetry_datasets,GitHub,https://github.com/natowi/photogrammetry_datasets,,,,,This is a collection of datasets for photogrammetry,,,,,
isaacullah,https://github.com/isaacullah/,R-Scripts,GitHub,https://github.com/isaacullah/R-Scripts,,,,,"This contains a set of data about human mobility, subsistance, population, and environmental productivity derived from the Standard Cross Cultural Sample",,,,,
,,,,,,,,,,,,,,
### R Data,,,,,,,,,,,,,,
sfsheath,https://github.com/sfsheath/,cawd,GitHub,https://github.com/sfsheath/cawd,,,,,An R package that collects together data for the ancient world,,,,,
ISAAKiel,https://github.com/ISAAKiel/,shkrdata,GitHub,https://github.com/ISAAKiel/shkrdata,,,,,Package for downloading and preparing shkr data for archaeological analysis,,,,,
David L. Carlson & Georg Roth,,archdata,CRAN,https://cran.rstudio.com/web/packages/archdata/index.html,,,,,The archdata package provides several types of data that are typically used in archaeological research,Data Entry,,,,
,,,,,,,,,,,,,,
## Snippets,Templates & Example Code,,,,,,,,,,,,,
isaacullah,https://github.com/isaacullah/,DroneSurveyPlanner,GitHub,https://github.com/isaacullah/DroneSurveyPlanner,,Website,,,This is a LibreOffice Calc spreadsheet designed to help you plan an aerial drone mapping survey mission,,,,,
benmarwick,https://github.com/benmarwick/,benmarwickopencontext.r,Gist,https://gist.github.com/benmarwick/50aa4c39b7d955d0ec40,,,,,Experimenting with the opencontext.org API using R,,,,,
benmarwick,https://github.com/benmarwick/,benmarwickDY-XYZ-data-on-an-irregular-grid-to-an-interpolated-raster.r,Gist,https://gist.github.com/benmarwick/7331879,,,,,"Plotting remote sensing data, especially how to go from XYZ data on an irregular grid to an interpolated raster",,,,,
,,,,,,,,,,,,,,
## Complete Analyses / Demonstrations,,,,,,,,,,,,,,
benmarwick,https://github.com/benmarwick/,dayofarchaeology,GitHub,https://github.com/benmarwick/dayofarchaeology,,,,,A Distant Reading of the Day of Archaeology,,,,,
Matt Peeples,,LISA,,,Website,http://www.mattpeeples.net/modules/LISA.html,,,Moran's I and Getis-Ord G* Analysis,Quantitative & Statistical Tools,,,,
Matt Peeples,,PLC,,,Website,http://www.mattpeeples.net/modules/PLC.html,,,Cluster Analysis - Pure Locational Clustering,Quantitative & Statistical Tools,,,,
mpeeples2008,https://github.com/mpeeples2008/,Measuring-Archaeological-Diversity-by-Comparing-to-Simulated-Assemblages,GitHub,https://github.com/mpeeples2008/Measuring-Archaeological-Diversity-by-Comparing-to-Simulated-Assemblages,,,,,"This is an R script that replicates the analyses presented in : Kintigh, K. 1984. Measuring Archaeological Diversity by Comparison with Simulated Assemblages. American Antiquity 49: 44-54",,,,,
Matt Peeples,,UnconstrainedClustering,,,Website,http://www.mattpeeples.net/modules/UnconstrainedClustering.html,,,Unconstrained Clustering,Quantitative & Statistical Tools,,,,
Matt Peeples,,BasicMapping,,,Website,http://www.mattpeeples.net/modules/BasicMapping.html,,,Working with map data in R,Geospatial Analysis,,,,
Matt Peeples,,PointPattern,,,Website,http://www.mattpeeples.net/modules/PointPattern.html,,,Point Pattern Analysis,Quantitative & Statistical Tools,,,,
benmarwick,,archaeology-grand-challenges.r,Gist,https://gist.github.com/benmarwick/d3eb3167ccb2116197ca,,,,,Sketch of a look at the 'grand challenges' of Kintigh et al. 2014 http://www.pnas.org/content/111/3/879.full,,,,,
gavinsimpson,,frontiers-palaeo-additive-modelling,GitHub,https://github.com/gavinsimpson/frontiers-palaeo-additive-modelling,,,,,Modelling and feature detection in palaeoenvironmental time series using additive models,Palaeoenvironment,Palaeobotany,Palaeoecology,,
,,,,,,,,,,,,,,
## Platforms & Initiatives,,,,,,,,,,,,,,
rekrei,https://github.com/rekrei/,rekrei,GitHub,https://github.com/rekrei/rekrei,,,,,Platform for crowdsourcing the digital recreation of lost heritage,,,,,
anatolian,https://github.com/anatolian/archaeological-object-sharing,archaeological-object-sharing,GitHub,https://github.com/anatolian/archaeological-object-sharing,,,,,"An online space for sharing data, 3d models, etc about archaeological objects to enable the comparison of these objects",,,,,
Open Context,,Open Context Python Code Repository,GitHub,https://github.com/ekansa/open-context-py,,,,,,,,,,
,,,,,,,,,,,,,,
## Educational Tools,,,,,,,,,,,,,,
kacebe,https://github.com/kacebe/AtlantGIS,AtlantGIS,GitHub,https://github.com/kacebe/AtlantGIS,,,,,"Faked GIS-Datasets, simulating an island in the Atlantic for educational purposes in using GIS in archaeology",,,,,
,,ODATE,,,,,,,,,,,,
msu-anthropology,https://github.com/msu-anthropology/,Digital Encyclopedia of Archaeologists,GitHub,https://github.com/msu-anthropology/deoa,,,,,,,,,,
isaacullah,https://github.com/isaacullah/,GIS-Projects,GitHub,https://github.com/isaacullah/GIS-Projects,,,,,GIS Projects for teaching and learning about Computational Archaeology,Geospatial Analysis,,,,
isaacullah,https://github.com/isaacullah/,,,,Website,http://isaacullah.github.io/A-mobile-field-data-collection-workflow/,,,A Mobile Data-Collection Workflow for Archaeologists,Data Entry,Fieldwork,,,
benmarwick,https://github.com/benmarwick/,benmarwicka-scientific-computing-environment-for-archaeology.txt,Gist,https://gist.github.com/benmarwick/11204658,,,,,"Scientific Computing Environment for archaeology: Installing R, Rstudio and other things on a lightweight Linux in a VirtualBox virtual machine",,,,,
,,,,,,,,,,,,,,
## Conference & Workshop Repos,,,,,,,,,,,,,,
FOSS4Arch,https://github.com/FOSS4Arch/,,GitHub,https://github.com/FOSS4Arch/SAA2016,,,,,,,,,,
benmarwick,https://github.com/benmarwick/,,GitHub,https://github.com/benmarwick/SAA2015-Open-Methods,,,,,,,,,,
ISAAKiel,https://github.com/ISAAKiel/,,GitHub,https://github.com/ISAAKiel/LAC2018_Session_44C,,,,,,,,,,
ISAAKiel,https://github.com/ISAAKiel/,,GitHub,https://github.com/ISAAKiel/SummerSchool_moin,,,,,,,,,,
ISAAKiel,https://github.com/ISAAKiel/,,GitHub,https://github.com/ISAAKiel/r_tutorial_caa_2018,,,,,,,,,,
ISAAKiel,https://github.com/ISAAKiel/,,GitHub,https://github.com/ISAAKiel/R-Tutorial_CAA2016,,,,,,,,,,
ISAAKiel,https://github.com/ISAAKiel/,,GitHub,https://github.com/ISAAKiel/Mosaic,,,,,,,,,,
mpeeples2008,https://github.com/mpeeples2008/,,GitHub,https://github.com/mpeeples2008/Archaeological-Network-Uncertainty,,,,,"R Markdown document associated with the workshop at the Computer Applications and Quantitative Methods in Archaeology Meeting in Atlanta, GA 2017, hosted by Matt Peeples and Tom Brughmans. Network Science and Statistical Techniques for Dealing with Uncertainties in Archaeological Datasets. ",,,,,
,,,,,,,,,,,,,,
## Lists,,,,,,,,,,,,,,
steko,https://github.com/steko/,archaeology,GitHub,https://github.com/steko/archaeology,,,,,A directory of GitHub projects by OR for archaeologists,,,,,
benmarwick,https://github.com/benmarwick/,ctv-archaeology,GitHub,https://github.com/benmarwick/ctv-archaeology,grouped by topic,,,,This CRAN Task View contains a list of packages useful for scientific work in Archaeology,,,,,
"Doug Rocks-Macqueen, Lorna Richardson, Emma O'Riordan, Katrina Urban",,Open Access Archaeology,Blog,http://www.openaccessarchaeology.org,Twitter,https://twitter.com/OpenAccessArch,,,OpenAccessArchaeology.org is dedicated to helping people discover and use Open Access resources in the field of Archaeology,,,,,
Keith Kintigh,,Tools for Quantitative Archaeology,,,Website,http://tfqa.com/,,,"Keith KintighTools for Quantitative Archaeology TFQA, is a package of more than 45 PC programs developed to satisfy several unusual analytical needs of archaeologists",,,,,
isaacullah,,,,,Blog,http://isaacullah.github.io/List-of-FOSS-tools-for-academics/,,,Isaac's List of FOSS tools for academics... and what to use them for!,,,,,
sarahkansa,https://github.com/sarahkansa/,levant-zooarch,GitHub,https://github.com/sarahkansa/levant-zooarch,,,,,Table of faunal analyses from archaeological sites in the Levant,,,,,
,,,,,,,,,,,,,,
## Unsorted,,,,,,,,,,,,,,
