item_name,description,github,gist,gitlab,bitbucket,launchpad,twitter,youtube,blogpost,cran,pypi,codeberg,website,publication,DOI,author1_name,author2_name,author3_name,author4_name,author5_name,author6_name,category,platform,tag1,tag2,tag3,tag4,tag5,notes,internetarchive
ArkGrid,A qgis plugin for local site grids.,https://github.com/lparchaeology/ArkGrid,,,,,,,,,,,,,,L-P Archaeology,,,,,,Packages and libraries,QGIS,Site mapping,,,,,,https://archive.org/details/github.com-lparchaeology-ArkGrid_-_2016-09-02_16-36-40
trenchdrawer,Plugin for drawing trenches.,https://github.com/MikeJJohnson/trenchdrawer,,,,,,,,,,,,,,MikeJJohnson,,,,,,Packages and libraries,QGIS,Site mapping,,,,,,https://archive.org/details/github.com-MikeJJohnson-trenchdrawer_-_2016-05-10_08-42-06
fieldwalkr,Spatial sampling and survey simulation tools.,https://github.com/joeroe/fieldwalkr,,,,,,,,,,,,,,joeroe,,,,,,Packages and libraries,R,Site mapping,,,,,,https://archive.org/details/github.com-joeroe-fieldwalkr_-_2019-03-18_08-56-49
ArkScan,A simple gui app to simplify scanning single context plans.,https://github.com/lparchaeology/ArkScan,,,,,,,,,,,,,,L-P Archaeology,,,,,,Standalone software,,Site mapping,,,,,,https://archive.org/details/github.com-lparchaeology-ArkScan_-_2015-07-28_08-06-46
ArkSpatial,A qgis plugin to simplfy digitization of archaeological plans drawn using the museum of london single context recording methodology.,https://github.com/lparchaeology/ArkSpatial,,,,,,,,,,,,,,L-P Archaeology,,,,,,Packages and libraries,QGIS,Site mapping,,,,,,https://archive.org/details/github.com-lparchaeology-ArkSpatial_-_2018-09-22_18-11-06
sitedefinition,The goal of sitedefinition is to see how feature densities might be used for site definition.,https://github.com/SCSchmidt/sitedefinition,,,,,,,,,,,,,,SCSchmidt,,,,,,Packages and libraries,R,Site mapping,,,,,,https://archive.org/details/github.com-SCSchmidt-sitedefinition_-_2019-09-05_16-30-54
ArkMatrix,"A tool for creating and manipulating harris matrices, part of the archaeological recording kit ark.",,,https://gitlab.com/arklab/ArkMatrix,,,,,,,,,,,,arklab,,,,,,Packages and libraries,Python,Harris matrix,,,,,,https://archive.org/details/gitlab.com-arklab-ArkMatrix_-_2020-03-31_10-32-20
harris2graph,"Harris2graph is a script to help migrate data from the lst file format used by the basp harris, stratify and arched packages into modern graph file formats.",https://github.com/lparchaeology/harris2graph/,,,,,,,,,,,,,,L-P Archaeology,,,,,,Packages and libraries,Python,Harris matrix,,,,,This seems to stem from prior work done at https://github.com/jlayt/harris2gv,https://archive.org/details/github.com-lparchaeology-harris2graph_-_2016-01-28_10-44-01
Harris-matrix-legacy,Create a harris matrix from archaeological stratigraphy data using python and graphviz.,,,,,,,,,,,https://codeberg.org/steko/harris-matrix-legacy,https://www.iosa.it/2008/08/27/harris-matrix-with-graphviz-a-draft-application-with-python/,,,steko,iosa,,,,,Packages and libraries,Python,Harris matrix,,,,,,
harris-matrix,Write graphviz dot files for archaeological sequence diagrams and bayesian chronological models.,https://github.com/tsdye/harris-matrix/,,,,,,,,,,,http://tsdye.online/harris-matrix/homepage/,,,tsdye,,,,,,Packages and libraries,Lisp,Harris matrix,,,,,,https://archive.org/details/github.com-tsdye-harris-matrix_-_2019-08-27_02-15-00
harris-matrix,Harris matrix visualization for the web using d3 + klayjs-d3.,https://github.com/semerj/harris-matrix,,,,,,,,,,,,,,semerj,,,,,,Standalone software,,Harris matrix,,,,,,https://archive.org/details/github.com-semerj-harris-matrix_-_2016-05-29_22-11-13
Le Stratifiant,Application for creating stratigraphic diagrams and checking the consistency of the chronostratigraphic recording.,,,,,,,,,,,,https://abp.hypotheses.org/3965,,,Bruno Desachy,,,,,,Packages and libraries,Microsoft Excel,Harris matrix,,,,,,
chronomodel,Chronological modelling of archaeological data using bayesian statistics.,https://github.com/Chronomodel/chronomodel,,,,,,,,,,,https://chronomodel.com/,,,Chronomodel,,,,,,Standalone software,,Chronological modelling,,,,,,https://archive.org/details/github.com-Chronomodel-chronomodel_-_2021-02-02_16-41-52
aoristAAR,A r package for the aoristic analysis of archaeological data.,https://github.com/ISAAKiel/aoristAAR,,,,,,,,,,,,,,ISAAKiel,,,,,,Packages and libraries,R,Chronological modelling,,,,,,https://archive.org/details/github.com-ISAAKiel-aoristAAR_-_2020-07-09_13-13-06
archSeries,Frequency time-series tools for archaeology.,https://github.com/davidcorton/archSeries,,,,,,,,,,,,,,davidcorton,,,,,,Packages and libraries,R,Chronological modelling,,,,,,https://archive.org/details/github.com-davidcorton-archSeries_-_2017-09-22_15-50-23
stratigraphr,R package for archaeological stratigraphy and chronological sequences.,https://github.com/joeroe/stratigraphr,,,,,,,,,,,,,,joeroe,,,,,,Packages and libraries,R,Chronological modelling,Harris matrix,,,,,https://archive.org/details/github.com-joeroe-stratigraphr_-_2021-01-30_15-20-12
ArchaeoChron,Bayesian modeling of archaeological chronologies.,https://github.com/ArchaeoStat/ArchaeoChron,,,,,,,,,,,https://archaeostat.github.io/ArchaeoChron/,,,philippe-a,marieannevibet,,,,,Packages and libraries,R,Chronological modelling,,,,,,https://archive.org/details/github.com-ArchaeoStat-ArchaeoChron_-_2019-09-11_12-58-29
ArchaeoPhases,Tools for post-processing MCMC simulations for chronological modelling,https://github.com/ArchaeoStat/ArchaeoPhases,,,,,,,,https://CRAN.R-project.org/package=ArchaeoPhases,,,https://archaeostat.github.io/ArchaeoPhases/,https://doi.org/10.18637/jss.v093.c01,10.5281/zenodo.8087121,philippe-a,marieannevibet,tsdye,nfrerebeau,,,Packages and libraries,R,Chronological modelling,,,,,,https://archive.org/details/github.com-ArchaeoStat-ArchaeoPhases_-_2020-12-01_12-35-04
Chronophage,Applications for obtaining chronograms (quantified chronology diagrams) and time distribution curves of archaeological or historical units from quantified dating indicators treated as inaccuracy intervals.,,,,,,,,,,,,https://abp.hypotheses.org/4284,,,Bruno Desachy,,,,,,Packages and libraries,LibreOffice Calc,Chronological modelling,,,,,,
Seriographe EPPM,The eppm serograph is a graphical tool for chronological serialization of archaeological furniture counting tables.,,,,,,,,,,,,https://abp.hypotheses.org/le-programme-bassin-parisien/les-projets/les-projets-associes-au-programme/outils-danalyse-graphique-des-donnees,,,Bruno Desachy,,,,,,Packages and libraries,Microsoft Excel,Chronological modelling,,,,,,
zooaRch,The zooarch package provides analytical tools to make inferences on zooarchaeological data.,,,,,,,,,https://CRAN.R-project.org/package=zooaRch/,,,,,,Erik Otarola-Castillo,Jesse Wolfhagen,Max D. Price,zooaRch,,,Packages and libraries,R,Zooarchaeology,,,,,,
zooaRchGUI,The zooarchgui package provides a graphical user interface (gui) to analytical tools for zooarchaeological data in the r package.,https://github.com/zooaRchGUI/zooaRchGUI,,,,,,,,,,,http://www.zooarchgui.org/,,,zooaRchGUI,,,,,,Packages and libraries,R,Zooarchaeology,,,,,,https://archive.org/details/github.com-zooaRchGUI-zooaRchGUI_-_2019-05-20_20-51-27
